# gathered 2026-09-04T10:45:39.919826+00:00
table|index|definition|scans|tup_read|bytes
broker_accounts|idx_broker_account_status|CREATE INDEX idx_broker_account_status ON public.broker_accounts USING btree (status, token_revoked_at)|28|134202|188416
broker_accounts|idx_broker_accounts_active|CREATE INDEX idx_broker_accounts_active ON public.broker_accounts USING btree (status, token_revoked_at)|207|1561725|180224
broker_accounts|idx_broker_accounts_user_id|CREATE INDEX idx_broker_accounts_user_id ON public.broker_accounts USING btree (user_id)|15179|70741|565248
coach_sessions|coach_sessions_pkey|CREATE UNIQUE INDEX coach_sessions_pkey ON public.coach_sessions USING btree (id)|0|0|16384
coach_sessions|idx_coach_sessions_account_started|CREATE INDEX idx_coach_sessions_account_started ON public.coach_sessions USING btree (broker_account_id, started_at DESC)|13691|0|16384
commitment_logs|commitment_logs_pkey|CREATE UNIQUE INDEX commitment_logs_pkey ON public.commitment_logs USING btree (id)|0|0|8192
commitment_logs|idx_commitment_logs_broker|CREATE INDEX idx_commitment_logs_broker ON public.commitment_logs USING btree (broker_account_id)|13691|0|8192
commitment_logs|idx_commitment_logs_timestamp|CREATE INDEX idx_commitment_logs_timestamp ON public.commitment_logs USING btree ("timestamp" DESC)|0|0|8192
completed_trade_features|completed_trade_features_pkey|CREATE UNIQUE INDEX completed_trade_features_pkey ON public.completed_trade_features USING btree (id)|0|0|16384
completed_trade_features|idx_completed_trade_features_broker_account_id|CREATE INDEX idx_completed_trade_features_broker_account_id ON public.completed_trade_features USING btree (broker_account_id)|66|0|16384
completed_trade_features|idx_ctf_broker|CREATE INDEX idx_ctf_broker ON public.completed_trade_features USING btree (broker_account_id)|0|0|16384
completed_trade_features|idx_ctf_one_per_trade|CREATE UNIQUE INDEX idx_ctf_one_per_trade ON public.completed_trade_features USING btree (completed_trade_id)|0|0|16384
completed_trades|completed_trades_pkey|CREATE UNIQUE INDEX completed_trades_pkey ON public.completed_trades USING btree (id)|59699|63189|319488
completed_trades|idx_completed_trade_account_exit|CREATE INDEX idx_completed_trade_account_exit ON public.completed_trades USING btree (broker_account_id, exit_time DESC)|172725|425491|548864
completed_trades|idx_completed_trades_broker_account_id|CREATE INDEX idx_completed_trades_broker_account_id ON public.completed_trades USING btree (broker_account_id)|9481|135056|278528
completed_trades|idx_completed_trades_broker_exit|CREATE INDEX idx_completed_trades_broker_exit ON public.completed_trades USING btree (broker_account_id, exit_time DESC)|0|0|557056
completed_trades|idx_completed_trades_btst|CREATE INDEX idx_completed_trades_btst ON public.completed_trades USING btree (broker_account_id, entry_time, exit_time) WHERE (overnight_close_price IS NOT NULL)|0|0|8192
completed_trades|idx_completed_trades_pnl_pct|CREATE INDEX idx_completed_trades_pnl_pct ON public.completed_trades USING btree (broker_account_id, pnl_pct) WHERE (pnl_pct IS NOT NULL)|0|0|98304
completed_trades|idx_completed_trades_quality|CREATE INDEX idx_completed_trades_quality ON public.completed_trades USING btree (broker_account_id, quality_score) WHERE (quality_score IS NOT NULL)|0|0|8192
completed_trades|idx_ct_broker|CREATE INDEX idx_ct_broker ON public.completed_trades USING btree (broker_account_id)|11|23310|286720
completed_trades|idx_ct_broker_exit|CREATE INDEX idx_ct_broker_exit ON public.completed_trades USING btree (broker_account_id, exit_time DESC)|0|0|557056
completed_trades|idx_ct_exit_time|CREATE INDEX idx_ct_exit_time ON public.completed_trades USING btree (exit_time DESC)|118239|147279|294912
completed_trades|idx_ct_symbol|CREATE INDEX idx_ct_symbol ON public.completed_trades USING btree (tradingsymbol, exchange)|213|914890|172032
constitution_history|constitution_history_pkey|CREATE UNIQUE INDEX constitution_history_pkey ON public.constitution_history USING btree (id)|2|4|16384
constitution_history|idx_constitution_history_broker|CREATE INDEX idx_constitution_history_broker ON public.constitution_history USING btree (broker_account_id, changed_at)|13700|28|16384
cooldowns|cooldowns_pkey|CREATE UNIQUE INDEX cooldowns_pkey ON public.cooldowns USING btree (id)|215|215|40960
cooldowns|idx_cooldowns_active|CREATE INDEX idx_cooldowns_active ON public.cooldowns USING btree (broker_account_id, expires_at) WHERE (skipped = false)|0|0|40960
